degraded_image,degradation_type,reference_image,source_reference_path
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/106_img__blue.png,blue_cast,106_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/106_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/106_img__green.png,green_cast,106_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/106_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/106_img__lowlight.png,low_light,106_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/106_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/106_img__blur.png,blur,106_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/106_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/107_img__blue.png,blue_cast,107_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/107_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/107_img__green.png,green_cast,107_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/107_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/107_img__lowlight.png,low_light,107_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/107_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/107_img__blur.png,blur,107_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/107_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/108_img__blue.png,blue_cast,108_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/108_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/108_img__green.png,green_cast,108_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/108_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/108_img__lowlight.png,low_light,108_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/108_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/108_img__blur.png,blur,108_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/108_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/10909_blue.png,blue_cast,10909.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10909.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/10909_green.png,green_cast,10909.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10909.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/10909_lowlight.png,low_light,10909.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10909.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/10909_blur.png,blur,10909.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10909.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/10945_blue.png,blue_cast,10945.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10945.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/10945_green.png,green_cast,10945.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10945.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/10945_lowlight.png,low_light,10945.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10945.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/10945_blur.png,blur,10945.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10945.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/109_img__blue.png,blue_cast,109_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/109_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/109_img__green.png,green_cast,109_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/109_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/109_img__lowlight.png,low_light,109_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/109_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/109_img__blur.png,blur,109_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/109_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/10_img__blue.png,blue_cast,10_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/10_img__green.png,green_cast,10_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/10_img__lowlight.png,low_light,10_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/10_img__blur.png,blur,10_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/11052_blue.png,blue_cast,11052.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11052.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/11052_green.png,green_cast,11052.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11052.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/11052_lowlight.png,low_light,11052.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11052.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/11052_blur.png,blur,11052.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11052.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/11064_blue.png,blue_cast,11064.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11064.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/11064_green.png,green_cast,11064.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11064.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/11064_lowlight.png,low_light,11064.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11064.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/11064_blur.png,blur,11064.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11064.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/111_img__blue.png,blue_cast,111_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/111_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/111_img__green.png,green_cast,111_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/111_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/111_img__lowlight.png,low_light,111_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/111_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/111_img__blur.png,blur,111_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/111_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/112_img__blue.png,blue_cast,112_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/112_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/112_img__green.png,green_cast,112_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/112_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/112_img__lowlight.png,low_light,112_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/112_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/112_img__blur.png,blur,112_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/112_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/11374_blue.png,blue_cast,11374.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11374.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/11374_green.png,green_cast,11374.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11374.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/11374_lowlight.png,low_light,11374.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11374.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/11374_blur.png,blur,11374.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11374.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/11398_blue.png,blue_cast,11398.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11398.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/11398_green.png,green_cast,11398.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11398.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/11398_lowlight.png,low_light,11398.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11398.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/11398_blur.png,blur,11398.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11398.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/113_img__blue.png,blue_cast,113_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/113_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/113_img__green.png,green_cast,113_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/113_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/113_img__lowlight.png,low_light,113_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/113_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/113_img__blur.png,blur,113_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/113_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/114_img__blue.png,blue_cast,114_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/114_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/114_img__green.png,green_cast,114_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/114_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/114_img__lowlight.png,low_light,114_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/114_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/114_img__blur.png,blur,114_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/114_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/115_img__blue.png,blue_cast,115_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/115_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/115_img__green.png,green_cast,115_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/115_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/115_img__lowlight.png,low_light,115_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/115_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/115_img__blur.png,blur,115_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/115_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/116_img__blue.png,blue_cast,116_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/116_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/116_img__green.png,green_cast,116_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/116_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/116_img__lowlight.png,low_light,116_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/116_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/116_img__blur.png,blur,116_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/116_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/117_img__blue.png,blue_cast,117_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/117_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/117_img__green.png,green_cast,117_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/117_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/117_img__lowlight.png,low_light,117_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/117_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/117_img__blur.png,blur,117_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/117_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/118_img__blue.png,blue_cast,118_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/118_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/118_img__green.png,green_cast,118_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/118_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/118_img__lowlight.png,low_light,118_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/118_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/118_img__blur.png,blur,118_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/118_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/11_img__blue.png,blue_cast,11_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/11_img__green.png,green_cast,11_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/11_img__lowlight.png,low_light,11_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/11_img__blur.png,blur,11_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/11_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/120_img__blue.png,blue_cast,120_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/120_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/120_img__green.png,green_cast,120_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/120_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/120_img__lowlight.png,low_light,120_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/120_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/120_img__blur.png,blur,120_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/120_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/121_img__blue.png,blue_cast,121_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/121_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/121_img__green.png,green_cast,121_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/121_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/121_img__lowlight.png,low_light,121_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/121_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/121_img__blur.png,blur,121_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/121_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/1225_blue.png,blue_cast,1225.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/1225.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/1225_green.png,green_cast,1225.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/1225.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/1225_lowlight.png,low_light,1225.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/1225.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/1225_blur.png,blur,1225.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/1225.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/12290_blue.png,blue_cast,12290.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12290.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/12290_green.png,green_cast,12290.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12290.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/12290_lowlight.png,low_light,12290.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12290.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/12290_blur.png,blur,12290.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12290.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/12299_blue.png,blue_cast,12299.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12299.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/12299_green.png,green_cast,12299.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12299.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/12299_lowlight.png,low_light,12299.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12299.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/12299_blur.png,blur,12299.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12299.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/122_img__blue.png,blue_cast,122_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/122_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/122_img__green.png,green_cast,122_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/122_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/122_img__lowlight.png,low_light,122_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/122_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/122_img__blur.png,blur,122_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/122_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/12324_blue.png,blue_cast,12324.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12324.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/12324_green.png,green_cast,12324.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12324.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/12324_lowlight.png,low_light,12324.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12324.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/12324_blur.png,blur,12324.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12324.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/12336_blue.png,blue_cast,12336.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12336.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/12336_green.png,green_cast,12336.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12336.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/12336_lowlight.png,low_light,12336.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12336.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/12336_blur.png,blur,12336.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12336.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/12348_blue.png,blue_cast,12348.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12348.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/12348_green.png,green_cast,12348.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12348.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/12348_lowlight.png,low_light,12348.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12348.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/12348_blur.png,blur,12348.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12348.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/123_img__blue.png,blue_cast,123_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/123_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/123_img__green.png,green_cast,123_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/123_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/123_img__lowlight.png,low_light,123_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/123_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/123_img__blur.png,blur,123_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/123_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/12422_blue.png,blue_cast,12422.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12422.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/12422_green.png,green_cast,12422.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12422.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/12422_lowlight.png,low_light,12422.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12422.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/12422_blur.png,blur,12422.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12422.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/12433_blue.png,blue_cast,12433.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12433.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/12433_green.png,green_cast,12433.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12433.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/12433_lowlight.png,low_light,12433.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12433.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/12433_blur.png,blur,12433.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/12433.png
